"Order","Family","sci_name","common_name","ebird_data","is_resident","why"
"PASSERIFORMES"," Turdidae","Ixoreus naevius","Varied Thrush","yes",FALSE,""
"PASSERIFORMES"," Turdidae","Catharus fuscescens","Veery","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Pooecetes gramineus","Vesper Sparrow","yes",FALSE,""
"PASSERIFORMES"," Hirundinidae","Tachycineta thalassina","Violet-green Swallow","yes",FALSE,""
"PASSERIFORMES"," Vireonidae","Vireo gilvus","Warbling Vireo","yes",FALSE,""
"PASSERIFORMES"," Turdidae","Sialia mexicana","Western Bluebird","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Tyrannus verticalis","Western Kingbird","yes",FALSE,""
"PASSERIFORMES"," Icteridae","Sturnella neglecta","Western Meadowlark","yes",FALSE,""
"PASSERIFORMES"," Cardinalidae","Piranga ludoviciana","Western Tanager","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Contopus sordidulus","Western Wood-Pewee","yes",FALSE,""
"PASSERIFORMES"," Sittidae","Sitta carolinensis","White-breasted Nuthatch","yes",TRUE,""
"PASSERIFORMES"," Passerellidae","Zonotrichia leucophrys","White-crowned Sparrow","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Zonotrichia albicollis","White-throated Sparrow","yes",FALSE,""
"PASSERIFORMES"," Fringillidae","Loxia leucoptera","White-winged Crossbill","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Empidonax traillii","Willow Flycatcher","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Cardellina pusilla","Wilson's Warbler","yes",FALSE,""
"PASSERIFORMES"," Troglodytidae","Troglodytes hiemalis","Winter Wren","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Setophaga petechia","Yellow Warbler","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Empidonax flaviventris","Yellow-bellied Flycatcher","yes",FALSE,""
"PASSERIFORMES"," Icteriidae","Icteria virens","Yellow-breasted Chat","yes",FALSE,""
"PASSERIFORMES"," Icteridae","Xanthocephalus xanthocephalus","Yellow-headed Blackbird","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Setophaga coronata","Yellow-rumped Warbler","yes",FALSE,""
"PELECANIFORMES"," Ardeidae","Botaurus lentiginosus","American Bittern","yes",FALSE,""
"PELECANIFORMES"," Pelecanidae","Pelecanus erythrorhynchos","American White Pelican","yes",FALSE,""
"PELECANIFORMES"," Ardeidae","Nycticorax nycticorax","Black-crowned Night Heron","yes",FALSE,""
"PELECANIFORMES"," Pelecanidae","Pelecanus occidentalis","Brown Pelican","yes",FALSE,""
"PELECANIFORMES"," Ardeidae","Ardea herodias","Great Blue Heron","yes",FALSE,""
"PELECANIFORMES"," Ardeidae","Ardea alba","Great Egret","yes",FALSE,""
"PELECANIFORMES"," Ardeidae","Butorides virescens","Green Heron","yes",FALSE,""
"PELECANIFORMES"," Ardeidae","Ardea ibis","Western Cattle-Egret","yes",FALSE,""
"PICIFORMES"," Picidae","Picoides dorsalis","American Three-toed Woodpecker","yes",TRUE,""
"PICIFORMES"," Picidae","Picoides arcticus","Black-backed Woodpecker","yes",TRUE,""
"PICIFORMES"," Picidae","Dryobates pubescens","Downy Woodpecker","yes",TRUE,""
"PICIFORMES"," Picidae","Dryobates villosus","Hairy Woodpecker","yes",TRUE,""
"PICIFORMES"," Picidae","Melanerpes lewis","Lewis's Woodpecker","yes",FALSE,""
"PICIFORMES"," Picidae","Colaptes auratus","Northern Flicker","yes",FALSE,""
"PICIFORMES"," Picidae","Dryocopus pileatus","Pileated Woodpecker","yes",TRUE,""
"PICIFORMES"," Picidae","Sphyrapicus ruber","Red-breasted Sapsucker","yes",FALSE,""
"PICIFORMES"," Picidae","Sphyrapicus nuchalis","Red-naped Sapsucker","yes",FALSE,""
"PICIFORMES"," Picidae","Sphyrapicus thyroideus","Williamson's Sapsucker","yes",FALSE,""
"PICIFORMES"," Picidae","Sphyrapicus varius","Yellow-bellied Sapsucker","yes",FALSE,""
"PICIFORMES"," Picidae","Sphyrapicus varius","Yellow-bellied Sapsucker","yes",FALSE,""
"PODICIPEDIFORMES"," Podicipedidae","Aechmophorus clarkii","Clark's Grebe","yes",FALSE,""
"PODICIPEDIFORMES"," Podicipedidae","Podiceps nigricollis","Eared Grebe","yes",FALSE,""
"PODICIPEDIFORMES"," Podicipedidae","Podiceps auritus","Horned Grebe","yes",FALSE,""
"PODICIPEDIFORMES"," Podicipedidae","Podilymbus podiceps","Pied-billed Grebe","yes",FALSE,""
"PODICIPEDIFORMES"," Podicipedidae","Podiceps grisegena","Red-necked Grebe","yes",FALSE,""
"PODICIPEDIFORMES"," Podicipedidae","Aechmophorus occidentalis","Western Grebe","yes",FALSE,""
"PROCELLARIIFORMES"," Diomedeidae","Phoebastria nigripes","Black-footed Albatross","yes",FALSE,""
"PROCELLARIIFORMES"," Procellariidae","Ardenna bulleri","Buller's Shearwater","yes",FALSE,""
"PROCELLARIIFORMES"," Procellariidae","Ardenna carneipes","Flesh-footed Shearwater","yes",FALSE,""
"PROCELLARIIFORMES"," Hydrobatidae","Hydrobates furcatus","Fork-tailed Storm-Petrel","yes",FALSE,""
"PROCELLARIIFORMES"," Diomedeidae","Phoebastria immutabilis","Laysan Albatross","yes",FALSE,""
"PROCELLARIIFORMES"," Hydrobatidae","Hydrobates leucorhous","Leach's Storm-Petrel","yes",FALSE,""
"PROCELLARIIFORMES"," Procellariidae","Ardenna creatopus","Pink-footed Shearwater","yes",FALSE,""
"PROCELLARIIFORMES"," Diomedeidae","Phoebastria albatrus","Short-tailed Albatross","no",NA,""
"PROCELLARIIFORMES"," Procellariidae","Ardenna tenuirostris","Short-tailed Shearwater","yes",FALSE,""
"PROCELLARIIFORMES"," Procellariidae","Ardenna grisea","Sooty Shearwater","yes",FALSE,""
"STRIGIFORMES"," Tytonidae","Tyto furcata","American Barn Owl","yes",TRUE,""
"STRIGIFORMES"," Strigidae","Strix varia","Barred Owl","yes",TRUE,""
"STRIGIFORMES"," Strigidae","Aegolius funereus","Boreal Owl","yes",FALSE,""
"STRIGIFORMES"," Strigidae","Psiloscops flammeolus","Flammulated Owl","yes",FALSE,""
"STRIGIFORMES"," Strigidae","Strix nebulosa","Great Gray Owl","yes",FALSE,""
"STRIGIFORMES"," Strigidae","Bubo virginianus","Great Horned Owl","yes",TRUE,""
"STRIGIFORMES"," Strigidae","Asio otus","Long-eared Owl","yes",FALSE,""
"STRIGIFORMES"," Strigidae","Surnia ulula","Northern Hawk Owl","yes",FALSE,""
"STRIGIFORMES"," Strigidae","Glaucidium gnoma","Northern Pygmy-Owl","yes",TRUE,""
"STRIGIFORMES"," Strigidae","Aegolius acadicus","Northern Saw-whet Owl","yes",FALSE,""
"STRIGIFORMES"," Strigidae","Asio flammeus","Short-eared Owl","yes",FALSE,""
"STRIGIFORMES"," Strigidae","Bubo scandiacus","Snowy Owl","yes",FALSE,""
"STRIGIFORMES"," Strigidae","Strix occidentalis","Spotted Owl","yes",TRUE,"rare breeder"
"STRIGIFORMES"," Strigidae","Megascops kennicottii","Western Screech-Owl","yes",TRUE,""
"SULIFORMES"," Phalacrocoracidae","Urile penicillatus","Brandt's Cormorant","yes",TRUE,""
"SULIFORMES"," Phalacrocoracidae","Nannopterum auritum","Double-crested Cormorant","yes",FALSE,""
"SULIFORMES"," Phalacrocoracidae","Urile pelagicus","Pelagic Cormorant","yes",FALSE,""
